"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:38:30 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp02_+SIW
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 SIW","SIW grid"
"<HEADER extra/>"
Data,"Average regional consumption by pred, prey (t/km^2)"
Area,"Region 0"
Number_of_cells,3600
"<HEADER end/>"

Year,"big fish|medium fish","big fish|small fish","big fish|mobile inverts","medium fish|mobile inverts","medium fish|sessile epifauna","small fish|zooplankton","small fish|phytoplankton","small fish|macrolagae","mobile inverts|sessile epifauna","mobile inverts|macrolagae","mobile inverts|detritus","sessile epifauna|zooplankton","sessile epifauna|phytoplankton",zooplankton|phytoplankton
1,0.8023821,0.7899901,0.1959959,18.10261,2.053766,26.97575,4.693508,11.29467,69.91616,63.09084,41.38288,227.5821,233.8041,4491.756
2,0.8303926,0.7702723,0.1825712,17.99192,2.10112,27.13558,4.74507,11.35045,69.67844,62.78056,40.6869,227.1451,234.1038,4483.877
3,0.8107705,0.7578189,0.1752293,17.89067,2.103358,27.24471,4.810194,11.39976,69.34811,62.65535,40.55463,225.5256,234.5166,4480.553
4,0.7802925,0.7497959,0.1736995,17.87634,2.091123,27.34558,4.832011,11.41706,69.38067,62.69519,40.74306,225.4465,234.6553,4484.162
5,0.7586814,0.7468479,0.1749262,17.92277,2.080445,27.42732,4.825129,11.4182,69.61382,62.80098,40.95214,226.3147,234.4731,4486.852
6,0.7514806,0.7477896,0.1759212,17.9827,2.07507,27.46317,4.825746,11.42165,69.70283,62.87738,41.06228,226.4836,234.2842,4485.442
7,0.7540736,0.747863,0.1751888,17.99317,2.075728,27.46292,4.836436,11.4271,69.6036,62.87459,41.04096,225.9892,234.2868,4483.704
8,0.7593268,0.7446189,0.1734333,17.97223,2.081661,27.46195,4.841725,11.42908,69.51473,62.82759,40.9494,225.7912,234.3832,4484.15
9,0.7627401,0.7394921,0.1716032,17.95802,2.089407,27.47881,4.840278,11.42975,69.51514,62.78119,40.85763,226.0438,234.429,4485.147
10,0.7621369,0.7353317,0.1701858,17.9532,2.094079,27.50527,4.841948,11.43377,69.53793,62.75315,40.80832,226.2196,234.433,4484.977
11,0.7708809,0.752353,0.1713511,18.22553,2.142592,27.66467,4.879905,12.32481,71.05575,67.09805,41.09588,227.9689,236.6556,4480.988
12,0.7449223,0.7545221,0.1761844,18.82357,2.166458,27.92648,4.952816,12.6489,72.43756,68.71699,42.10898,228.3756,238.3776,4476.406
13,0.7507625,0.7637185,0.1778065,19.21185,2.185331,28.31823,5.042202,12.70295,72.62577,68.67352,42.64511,227.7691,238.7873,4475.997
14,0.7852643,0.7532619,0.1713648,19.11159,2.234084,28.45008,5.061716,12.71977,72.44308,68.24619,42.2342,228.2394,239.1039,4478.138
15,0.8024902,0.7419276,0.1658708,18.99718,2.273331,28.49557,5.061868,12.72803,72.44936,67.93304,41.81859,228.9705,239.464,4477.805
16,0.7967134,0.7397046,0.1645242,18.95428,2.279838,28.51669,5.071482,12.73817,72.4499,67.86321,41.74258,228.8616,239.6296,4476.008
17,0.7848274,0.7430227,0.1660784,18.95717,2.267991,28.51915,5.079836,12.74183,72.44578,67.93491,41.8852,228.4937,239.6407,4475.831
18,0.7764302,0.7469557,0.1685297,18.97191,2.255347,28.51065,5.076058,12.73633,72.49576,68.03199,42.04745,228.5171,239.5532,4477.018
19,0.7724077,0.7503114,0.1707036,18.98918,2.247262,28.49733,5.067234,12.7288,72.56748,68.1068,42.15521,228.7115,239.4355,4477.542
20,0.7724993,0.7529933,0.172053,19.00625,2.243411,28.47991,5.062757,12.72458,72.58962,68.14654,42.20712,228.6983,239.3617,4477.1
