"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:38:30 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp02_+SIW
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 SIW","SIW grid"
"<HEADER extra/>"
Data,"Average regional biomass by group (t/km^2)"
Area,"Region 1"
Number_of_cells,56
"<HEADER end/>"

Year,"big fish","medium fish","small fish","mobile inverts","sessile epifauna",zooplankton,phytoplankton,macrolagae,detritus
1,0.4328267,2.26395,3.675164,9.008464,52.52696,74.96992,61.03827,272.1118,385.8513
2,0.4260016,2.233037,3.709741,8.952111,52.52319,74.6643,61.00858,272.2372,385.4814
3,0.4237336,2.164727,3.724482,8.984468,52.35361,74.55494,61.1638,272.2973,386.031
4,0.4217898,2.130689,3.724694,9.033355,52.33623,74.72121,61.23199,272.2866,386.4764
5,0.4195553,2.131273,3.727381,9.068744,52.42033,74.83086,61.15939,272.2483,386.2756
6,0.4171668,2.151768,3.733692,9.071058,52.42831,74.75986,61.10225,272.2137,385.9549
7,0.4149431,2.168542,3.736035,9.044906,52.37335,74.68071,61.13089,272.2035,385.9885
8,0.4130494,2.175465,3.73448,9.022371,52.36016,74.70405,61.17003,272.2163,386.1805
9,0.4114977,2.175184,3.735041,9.015089,52.39764,74.75249,61.16276,272.2357,386.2099
10,0.4101979,2.170756,3.739262,9.018097,52.42181,74.74615,61.14091,272.2491,386.1201
11,1.153557,5.870883,10.63849,23.87339,86.55875,74.13906,60.95287,748.629,451.9986
12,1.166934,6.354877,12.22077,35.4738,120.4253,73.66936,61.01181,909.3521,494.1898
13,1.171566,7.000184,12.48861,36.89304,124.8735,73.67176,61.19455,917.5337,498.0903
14,1.183217,7.29125,12.48837,35.92278,127.2049,73.89493,61.1979,921.7536,499.4331
15,1.200308,7.178973,12.50969,35.52392,129.7346,73.86519,61.09778,924.8448,500.0003
16,1.212155,6.957771,12.53899,35.67343,130.4568,73.72324,61.10222,926.1512,500.3208
17,1.218284,6.845555,12.53032,35.93099,130.0581,73.72279,61.16698,926.1032,500.5617
18,1.221926,6.830805,12.50296,36.10722,129.6561,73.81348,61.17406,925.6069,500.5294
19,1.223427,6.85701,12.48827,36.20323,129.4523,73.84193,61.13358,925.1679,500.2711
20,1.223684,6.899905,12.4855,36.22113,129.2881,73.80421,61.11583,924.9104,500.0797
