"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:38:30 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp02_+SIW
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 SIW","SIW grid"
"<HEADER extra/>"
Data,"Average regional consumption by pred, prey (t/km^2)"
Area,"Region 1"
Number_of_cells,56
"<HEADER end/>"

Year,"big fish|medium fish","big fish|small fish","big fish|mobile inverts","medium fish|mobile inverts","medium fish|sessile epifauna","small fish|zooplankton","small fish|phytoplankton","small fish|macrolagae","mobile inverts|sessile epifauna","mobile inverts|macrolagae","mobile inverts|detritus","sessile epifauna|zooplankton","sessile epifauna|phytoplankton",zooplankton|phytoplankton
1,0.7922091,0.8048559,0.1990718,18.20986,2.16844,27.31101,4.722903,11.99518,72.53394,66.17867,41.63086,233.3714,238.5974,4490.379
2,0.8339491,0.7877166,0.1852864,18.06205,2.226127,27.48103,4.767104,12.05257,72.31551,65.77422,40.79258,233.4302,238.9865,4483.841
3,0.8180657,0.7765458,0.1780833,17.96822,2.230119,27.59508,4.829615,12.10541,72.01568,65.63705,40.63908,231.9507,239.3928,4480.019
4,0.7844722,0.7692648,0.1768193,17.96519,2.214164,27.69128,4.855031,12.12505,72.02988,65.69783,40.86335,231.6368,239.5212,4482.838
5,0.7597786,0.7667465,0.1782709,18.00511,2.200629,27.769,4.849336,12.12568,72.25609,65.81778,41.09205,232.4143,239.3467,4485.768
6,0.7519293,0.7677935,0.179411,18.0615,2.195032,27.80675,4.847574,12.12816,72.36728,65.90047,41.20177,232.7019,239.1451,4484.859
7,0.7558344,0.7681953,0.1787071,18.0753,2.196539,27.809,4.857177,12.13411,72.27666,65.89594,41.17152,232.2662,239.1316,4483.026
8,0.7634804,0.7650949,0.1767887,18.05852,2.203688,27.80713,4.863738,12.13709,72.17005,65.83991,41.06836,232.0037,239.2363,4483.153
9,0.7685039,0.7593462,0.1746547,18.046,2.212853,27.8225,4.863104,12.13795,72.15493,65.78305,40.9654,232.2189,239.3013,4484.164
10,0.7686846,0.7542611,0.1729765,18.04347,2.218912,27.84971,4.86413,12.14182,72.17935,65.74846,40.90713,232.4374,239.3125,4484.184
11,3.042949,3.348856,0.5547384,59.71021,6.478744,63.21911,10.86326,72.68012,201.9367,362.0334,82.89463,401.6579,408.5267,4455.115
12,2.393568,2.367508,0.3871268,47.85764,9.152036,55.07421,9.518031,88.22266,268.6364,426.9438,76.13351,514.9085,525.8306,4431.058
13,3.116541,2.06234,0.3106418,45.55579,11.29553,53.32024,9.270631,87.90768,282.6447,407.2675,69.01711,549.0629,565.9507,4426.299
14,3.72431,1.734125,0.2417935,44.05584,12.84519,53.05619,9.20367,87.98853,278.8727,390.6766,63.71713,560.7489,577.9111,4430.45
15,3.798633,1.577539,0.2080981,42.24175,13.76704,52.965,9.152904,88.11477,278.6061,379.9065,60.30379,573.3245,588.5975,4429.486
16,3.742905,1.554069,0.200633,41.51823,14.07351,52.95353,9.162717,88.28295,279.3996,376.5,59.21059,578.1289,594.115,4425.879
17,3.730642,1.567127,0.2032187,41.75282,14.0509,52.90141,9.177018,88.30175,279.8542,377.6105,59.5266,576.8901,594.4509,4425.385
18,3.742844,1.572277,0.2068574,42.2657,13.96466,52.82008,9.158293,88.16676,280.2466,379.7688,60.16962,575.3963,592.6706,4427.514
19,3.756352,1.570911,0.2092152,42.6777,13.90642,52.76621,9.131221,88.03201,280.6701,381.423,60.6511,574.8614,590.9217,4428.716
20,3.768766,1.56783,0.210026,42.8986,13.87511,52.73542,9.121301,87.9755,280.7383,382.2446,60.88855,574.1121,589.8555,4428.254
