"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:57:14 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp01_base
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"<HEADER extra/>"
Data,"Average regional biomass by group (t/km^2)"
Area,"Region 1"
Number_of_cells,56
"<HEADER end/>"

Year,"big fish","medium fish","small fish","mobile inverts","sessile epifauna",zooplankton,phytoplankton,macrolagae,detritus
1,0.4328267,2.26395,3.675164,9.008464,52.52696,74.96992,61.03827,272.1118,385.8513
2,0.4260016,2.233037,3.709741,8.952111,52.52319,74.6643,61.00858,272.2372,385.4814
3,0.4237336,2.164727,3.724482,8.984468,52.35361,74.55494,61.1638,272.2973,386.031
4,0.4217898,2.130689,3.724694,9.033355,52.33623,74.72121,61.23199,272.2866,386.4764
5,0.4195553,2.131273,3.727381,9.068744,52.42033,74.83086,61.15939,272.2483,386.2756
6,0.4171668,2.151768,3.733692,9.071058,52.42831,74.75986,61.10225,272.2137,385.9549
7,0.4149431,2.168542,3.736035,9.044906,52.37335,74.68071,61.13089,272.2035,385.9885
8,0.4130494,2.175465,3.73448,9.022371,52.36016,74.70405,61.17003,272.2163,386.1805
9,0.4114977,2.175184,3.735041,9.015089,52.39764,74.75249,61.16276,272.2357,386.2099
10,0.4101979,2.170756,3.739262,9.018097,52.42181,74.74615,61.14091,272.2491,386.1201
11,0.4090489,2.16601,3.743381,9.022346,52.40883,74.71537,61.14362,272.253,386.1014
12,0.4079732,2.162983,3.745057,9.024657,52.39283,74.71329,61.15908,272.2517,386.1621
13,0.4069324,2.162027,3.745594,9.02624,52.3963,74.73142,61.16161,272.2491,386.1903
14,0.4059258,2.162647,3.746588,9.027128,52.40472,74.73627,61.15356,272.2463,386.1617
15,0.4049753,2.164128,3.747802,9.026189,52.40313,74.72654,61.15088,272.2443,386.1405
16,0.4041046,2.16574,3.748554,9.0237,52.39766,74.72176,61.1554,272.2439,386.1543
17,0.403323,2.166931,3.749085,9.02131,52.39823,74.7263,61.15815,272.2454,386.1712
18,0.4026257,2.167511,3.749954,9.020018,52.40269,74.72945,61.15654,272.2477,386.1691
19,0.402001,2.167606,3.751117,9.019459,52.40443,74.72689,61.15528,272.2499,386.1626
20,0.4014353,2.167443,3.752163,9.019015,52.40324,74.72419,61.15673,272.2516,386.1667
