"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:43:49 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp04_+SIW+ecoengineer
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 SIW","SIW grid"
"Layer 1 Biofouling complexity","Epifauna Complexity"
"<HEADER extra/>"
Data,"Average regional consumption by pred, prey (t/km^2)"
Area,"Region 0"
Number_of_cells,3600
"<HEADER end/>"

Year,"big fish|medium fish","big fish|small fish","big fish|mobile inverts","medium fish|mobile inverts","medium fish|sessile epifauna","small fish|zooplankton","small fish|phytoplankton","small fish|macrolagae","mobile inverts|sessile epifauna","mobile inverts|macrolagae","mobile inverts|detritus","sessile epifauna|zooplankton","sessile epifauna|phytoplankton",zooplankton|phytoplankton
1,0.9374416,0.9597719,0.1826344,22.74559,2.121752,35.43304,6.016518,13.87499,78.85326,83.29462,48.97664,209.9279,209.4618,4515.379
2,0.9264686,0.9817169,0.1875973,22.90428,2.092687,35.43856,6.021614,13.86299,78.60279,83.75826,49.30696,209.5287,208.8023,4516.296
3,0.9589657,0.9813135,0.1872184,22.90735,2.100139,35.39939,5.999718,13.83525,78.36167,83.68948,49.10593,209.632,208.5278,4516.813
4,0.9920058,0.9666061,0.1827467,22.76996,2.126283,35.3941,5.986402,13.82888,78.33128,83.29858,48.66323,209.9421,208.7723,4516.348
5,0.9957622,0.9538574,0.1790247,22.6724,2.142121,35.42366,6.000578,13.84983,78.41586,83.04668,48.45699,210.0035,209.1589,4515.341
6,0.977273,0.9506101,0.1783371,22.68086,2.138548,35.46397,6.023859,13.87199,78.46072,83.07131,48.56475,209.821,209.2967,4514.919
7,0.9599721,0.9532033,0.1795183,22.72207,2.127868,35.49573,6.031977,13.87619,78.47237,83.20681,48.74536,209.7303,209.2,4515.357
8,0.9502243,0.9575492,0.1811197,22.7502,2.119849,35.50751,6.025233,13.86797,78.50537,83.33099,48.86044,209.7897,209.0579,4515.907
9,0.9484162,0.9613194,0.1822644,22.7783,2.116034,35.49805,6.017687,13.85977,78.51545,83.41618,48.91047,209.8095,208.9467,4516.053
10,0.9521841,0.9623469,0.1823885,22.78932,2.115986,35.48158,6.01529,13.8562,78.47074,83.42959,48.89499,209.7595,208.8898,4515.963
11,0.9778926,0.9869108,0.1835817,23.06994,2.164111,35.6545,6.052855,14.927,79.63795,88.53989,48.86953,210.9996,210.3699,4513.512
12,0.9558071,0.9870391,0.1874741,23.73028,2.184996,36.00414,6.131332,15.31604,80.87823,90.57893,50.0685,211.3394,211.4359,4510.559
13,0.9601745,0.999505,0.1900141,24.26276,2.196639,36.55719,6.242884,15.38564,81.07462,90.67743,50.90585,210.6587,211.4391,4510.209
14,1.010899,0.9883537,0.1828172,24.07005,2.248463,36.74916,6.274817,15.41775,80.81266,89.96947,50.23252,211.107,211.8492,4511.507
15,1.034699,0.9760032,0.1769236,23.84279,2.293282,36.79604,6.280798,15.43708,80.90192,89.45938,49.58643,211.9302,212.5727,4510.41
16,1.015175,0.9769987,0.1773011,23.83537,2.292434,36.79625,6.292281,15.44671,81.04722,89.52187,49.68045,211.796,212.8271,4508.685
17,0.9910973,0.9851589,0.1810588,23.91041,2.267891,36.7789,6.295624,15.44,81.07401,89.80817,50.10286,211.3494,212.6116,4509.356
18,0.9789578,0.9928581,0.1848769,23.9621,2.2486,36.75965,6.281996,15.42321,81.12276,90.02917,50.41966,211.3884,212.3142,4511.11
19,0.9833242,0.9973733,0.1869786,24.00991,2.244216,36.73895,6.26682,15.41009,81.1664,90.11167,50.52104,211.574,212.1208,4511.458
20,0.9940434,0.9989595,0.1869581,24.00355,2.248797,36.71564,6.263,15.40742,81.12363,90.05543,50.43254,211.5359,212.1073,4510.614
