"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:41:36 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp03_+ecoengineer
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 Biofouling complexity","Epifauna Complexity"
"<HEADER extra/>"
Data,"Average biomass by group (t/km^2)"
Area,"Total area (km^2)"
Number_of_cells,3600
"<HEADER end/>"

Year,"big fish","medium fish","small fish","mobile inverts","sessile epifauna",zooplankton,phytoplankton,macrolagae,detritus
1,0.520821,2.528791,4.618416,10.64317,46.5637,75.26975,60.7606,255.8256,381.1599
2,0.5185281,2.60424,4.606986,10.62116,46.45887,75.29704,60.74542,255.639,381.053
3,0.5170144,2.674877,4.595654,10.54539,46.46889,75.29205,60.71972,255.6135,380.9357
4,0.5163471,2.681585,4.600483,10.493,46.54679,75.26202,60.71158,255.7204,380.9132
5,0.5161427,2.643885,4.612727,10.50269,46.5856,75.23695,60.7305,255.819,381.002
6,0.5158368,2.608441,4.618693,10.53538,46.5627,75.24009,60.75403,255.8307,381.106
7,0.515228,2.599114,4.617052,10.55417,46.53888,75.26125,60.75764,255.7911,381.1294
8,0.5143909,2.604136,4.614386,10.56288,46.53424,75.27407,60.74486,255.75,381.0757
9,0.5135002,2.616676,4.613185,10.56391,46.52622,75.27176,60.73475,255.7206,381.0194
10,0.5127187,2.629795,4.612391,10.55412,46.51603,75.26604,60.73368,255.7103,381.0037
11,0.5121282,2.637804,4.612328,10.54046,46.51999,75.26313,60.73566,255.7226,381.0137
12,0.511723,2.638439,4.614135,10.53211,46.53523,75.26066,60.7373,255.7473,381.0285
13,0.5114369,2.633426,4.617138,10.53094,46.54671,75.25784,60.74004,255.7683,381.0454
14,0.5111871,2.62652,4.619491,10.53384,46.54896,75.25674,60.74365,255.7775,381.0632
15,0.5109156,2.62107,4.620312,10.53821,46.54622,75.25829,60.74587,255.7758,381.0738
16,0.5106029,2.618794,4.620075,10.54257,46.54241,75.2608,60.74553,255.7673,381.0723
17,0.5102637,2.61974,4.619519,10.5453,46.53823,75.26264,60.7438,255.7567,381.0628
18,0.5099277,2.622762,4.61905,10.54541,46.53468,75.26321,60.74217,255.7494,381.0537
19,0.5096234,2.626166,4.618894,10.5432,46.53363,75.26266,60.74123,255.7471,381.0479
20,0.509369,2.628484,4.619201,10.5402,46.53541,75.26144,60.74128,255.7502,381.0477
